PROLIFIC_PID,treatment,age,sex,ethnicity,score,num_completed
6369d22da4010e5113a95229,0,NA,NA,NA,0,0
636da58a0d76bbb9167dbf3e,0,61,Female,White,2,5
60283a386150ab34f74fd4d1,0,40,Female,White,1,2
613ff660c89cf7ae6ae69654,0,19,Male,Mixed,2,2
622ac616f7c72a6ab02d06b9,0,73,Female,White,0,4
5967862f965b0b000108cf31,0,62,Female,White,4,4
61014669f7df8cbb68565e2c,0,24,Female,White,2,5
5cab4ce7fc216d0016162830,0,36,Female,Black,2,5
6283bbad3d50889bf5901b4b,0,26,Male,Asian,4,4
6152271eefd3c2b4bacb64e6,0,36,Male,White,2,3
5a2369aa1a1ad3000138fb42,0,47,DATA_EXPIRED,DATA_EXPIRED,1,4
61095301a0d717717f93af56,0,20,Female,White,4,4
603454dbbea63e24a99aabd2,0,20,Male,White,4,4
60fd63348951a954e123762a,0,27,Female,White,3,3
62b9e1aed4b802b4e268125d,0,36,Male,Black,3,4
6109e28bd120c0a02f29c800,0,25,Female,White,2,3
5f2ce47b390fbc21a8358f9b,0,32,Female,Asian,4,5
60b800d2c81484710290317a,0,39,Male,White,4,5
6022fec1801f3612a0276d01,0,29,Female,White,3,3
6054124687a30fa82205e9b9,0,20,Female,White,4,5
5c1dafd089f035000172c520,0,28,Female,White,4,4
6115915f5308ff41d36657fb,0,43,Male,White,4,4
5c9aafd9d254710012620d7a,0,33,Female,White,4,4
5e16a8f6a99550c7261650d3,0,26,Female,Black,2,2
5f01496e89eb5929b272ab10,0,22,Female,Asian,3,3
62d59ab6f7d966eece474824,0,20,Female,Asian,3,3
6113dc68903b939752c98ad7,0,38,Female,White,3,3
60fd036046482faddca9a6c3,0,24,Male,White,3,5
5e6530aeb92c25000c0ed7d7,0,32,Female,Other,1,1
5ea98c8747b7860a96ff3c90,0,50,Female,White,3,5
57509adb119192000651ec2b,0,40,Female,White,3,4
5dd39758cf8e7e38d9ce47b5,0,60,Male,White,2,3
