"","treatment","age","sex","ethnicityAsian","num_completed","accuracy"
"1",0,61,"Female",0,5,0.4
"2",0,40,"Female",0,2,0.5
"3",0,19,"Male",0,2,1
"4",0,73,"Female",0,4,0
"5",0,62,"Female",0,4,1
"6",0,24,"Female",0,5,0.4
"7",0,36,"Female",0,5,0.4
"8",0,26,"Male",1,4,1
"9",0,36,"Male",0,3,0.666666666666667
"10",0,47,"NaN",0,4,0.25
"11",0,20,"Female",0,4,1
"12",0,20,"Male",0,4,1
"13",0,27,"Female",0,3,1
"14",0,36,"Male",0,4,0.75
"15",0,25,"Female",0,3,0.666666666666667
"16",0,32,"Female",1,5,0.8
"17",0,39,"Male",0,5,0.8
"18",0,29,"Female",0,3,1
"19",0,20,"Female",0,5,0.8
"20",0,28,"Female",0,4,1
"21",0,43,"Male",0,4,1
"22",0,33,"Female",0,4,1
"23",0,26,"Female",0,2,1
"24",0,22,"Female",1,3,1
"25",0,20,"Female",1,3,1
"26",0,38,"Female",0,3,1
"27",0,24,"Male",0,5,0.6
"28",0,32,"Female",0,1,1
"29",0,50,"Female",0,5,0.6
"30",0,40,"Female",0,4,0.75
"31",0,60,"Male",0,3,0.666666666666667
"32",0,26,"Female",1,2,1
"33",0,55,"Male",0,4,0.75
"34",0,20,"Male",1,3,1
"35",0,45,"Male",0,4,1
"36",0,33,"Male",0,3,0.666666666666667
"37",0,30,"Female",0,2,1
"38",0,40,"Male",0,1,1
"39",0,45,"Female",0,2,1
"40",0,50,"Male",0,5,1
"41",0,46,"Male",0,4,0.75
"42",0,36,"Female",0,3,1
"43",0,40,"Female",0,4,0.75
"44",0,20,"Male",0,3,1
"45",0,58,"Female",0,2,0.5
"46",0,51,"Female",0,3,1
"47",0,22,"Female",0,4,1
"48",0,25,"Female",0,4,0.75
"49",0,30,"Female",0,4,1
"50",0,40,"Male",0,5,0.8
"51",0,50,"Female",0,2,1
"52",0,31,"Female",0,2,1
"53",0,32,"Female",1,5,0.8
"54",0,20,"Male",0,4,1
"55",0,30,"Male",0,5,0.8
"56",0,20,"Female",0,5,0.8
"57",0,24,"Male",0,5,0.6
"58",0,28,"Female",0,5,0.4
"59",0,19,"Male",0,5,0.8
"60",0,32,"Male",0,5,0
"61",0,33,"Male",0,5,0.4
"62",0,22,"Female",0,5,0
"63",0,21,"Male",0,4,0.75
"64",0,24,"Female",0,3,1
"65",0,37,"Female",0,4,1
"66",0,22,"Male",0,5,0.2
"67",0,28,"Male",1,4,1
"68",0,67,"Female",0,1,0
"69",0,21,"Male",0,2,1
"70",0,31,"Male",0,5,1
"71",0,24,"Female",0,2,1
"72",0,23,"Female",0,3,0
"73",0,19,"Female",0,5,0
"74",0,65,"Male",0,2,1
"75",0,25,"Male",1,4,1
"76",0,56,"Female",0,3,0.333333333333333
"77",0,45,"Male",0,2,1
"78",0,18,"Male",0,4,0.75
"79",0,24,"Male",1,3,1
"80",0,30,"Female",0,4,0.75
"81",0,21,"Female",0,5,0.2
"82",0,59,"Female",0,1,1
"83",0,20,"Female",0,3,0.333333333333333
"84",0,29,"Female",0,4,1
"85",0,47,"Female",0,5,0.2
"86",0,35,"Male",0,5,0
"87",0,23,"Female",0,4,1
"88",0,28,"Female",1,3,0.333333333333333
"89",0,24,"Male",0,4,1
"90",0,32,"Male",0,5,0.2
"91",0,56,"Female",0,2,1
"92",0,40,"Female",0,0,0
"93",0,23,"Male",1,5,0.4
"94",0,28,"Male",1,3,1
"95",0,21,"Female",0,3,0.333333333333333
"96",0,41,"Male",0,4,1
"97",0,23,"Male",0,4,1
"98",0,34,"Male",0,2,0.5
"99",0,19,"Male",0,3,1
"100",0,33,"Prefer not to say",0,4,0.75
"101",0,31,"Male",0,5,0.4
"102",0,50,"Male",0,5,0
"103",0,33,"Male",0,5,0.2
"104",0,23,"Female",0,3,0.666666666666667
"105",0,29,"Female",0,4,0.75
"106",0,32,"Male",0,0,0
"107",0,30,"Male",0,5,0.2
"108",0,52,"Female",0,4,1
"109",0,48,"Male",1,3,1
"110",0,23,"Male",0,5,0.8
"111",0,41,"Female",0,1,1
"112",0,25,"Female",0,4,1
"113",0,29,"Male",0,5,0.8
"114",0,39,"Male",0,3,0.666666666666667
"115",0,33,"Male",0,4,1
"116",0,27,"Female",0,3,0.333333333333333
"117",0,40,"Male",0,3,1
"118",0,39,"Male",0,4,1
"119",0,24,"Female",0,4,0.75
"120",0,27,"Male",0,4,0.5
"121",0,38,"Prefer not to say",0,3,1
"122",0,22,"Male",1,5,0.4
"123",0,24,"Female",0,1,1
"124",0,31,"Female",0,3,0.333333333333333
"125",0,40,"Female",0,4,1
"126",0,19,"Male",0,1,1
"127",0,31,"Female",0,5,0.6
"128",0,32,"Female",0,4,0.75
"129",0,37,"Female",1,5,0.8
"130",0,47,"Male",0,5,0
